,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
NRXN3,float64,248,0,0,0,0
OSBPL5,float64,248,0,0,0,0
AQR,float64,248,0,0,0,0
CPS1,float64,248,0,0,0,0
C8B,float64,248,0,0,0,0
FHL1,float64,248,0,0,0,0
RTF2,float64,248,0,0,0,0
GABRA1,float64,248,0,0,0,0
NLRP2,float64,248,0,0,0,0
SLC45A4,float64,248,0,0,0,0
RNF10,float64,248,0,0,0,0
ZNF839,float64,248,0,0,0,0
ZDHHC6,float64,248,0,0,0,0
GRAMD1B,float64,248,0,0,0,0
RNH1,float64,248,0,0,0,0
NDUFS1,float64,248,0,0,0,0
RB1CC1,float64,248,0,0,0,0
ERP44,float64,248,0,0,0,0
ALAS1,float64,248,0,0,0,0
BIRC3,float64,248,0,0,0,0
AKAP11,float64,248,0,0,0,0
GLRX2,float64,248,0,0,0,0
SNAPC1,float64,248,0,0,0,0
DERA,float64,248,0,0,0,0
STRAP,float64,248,0,0,0,0
ABCC2,float64,248,0,0,0,0
DEF6,float64,248,0,0,0,0
PLEKHO1,float64,248,0,0,0,0
GCLM,float64,248,0,0,0,0
UBR2,float64,248,0,0,0,0
EHD2,float64,248,0,0,0,0
DEPDC1,float64,248,0,0,0,0
CCDC28A,float64,248,0,0,0,0
RRAGD,float64,248,0,0,0,0
HSF2,float64,248,0,0,0,0
PHF20,float64,248,0,0,0,0
HSD17B6,float64,248,0,0,0,0
NR1H3,float64,248,0,0,0,0
TYMP,float64,248,0,0,0,0
NCAPH2,float64,248,0,0,0,0
TOMM34,float64,248,0,0,0,0
SEC63,float64,248,0,0,0,0
KPNA6,float64,248,0,0,0,0
VIM,float64,248,0,0,0,0
FAS,float64,248,0,0,0,0
RNASET2,float64,248,0,0,0,0
CD44,float64,248,0,0,0,0
KCNG1,float64,248,0,0,0,0
AGPAT4,float64,248,0,0,0,0
SLAMF7,float64,248,0,0,0,0
BTN3A1,float64,248,0,0,0,0
MIPEP,float64,248,0,0,0,0
PRKCH,float64,248,0,0,0,0
INSRR,float64,248,0,0,0,0
IFNGR1,float64,248,0,0,0,0
B4GALT7,float64,248,0,0,0,0
SH2D2A,float64,248,0,0,0,0
VRK2,float64,248,0,0,0,0
TNFRSF1B,float64,248,0,0,0,0
VEZT,float64,248,0,0,0,0
POU2F2,float64,248,0,0,0,0
BRD9,float64,248,0,0,0,0
SNX1,float64,248,0,0,0,0
TBPL1,float64,248,0,0,0,0
BMAL2,float64,248,0,0,0,0
BCLAF1,float64,248,0,0,0,0
SLC39A9,float64,248,0,0,0,0
ANK1,float64,248,0,0,0,0
IBSP,float64,248,0,0,0,0
TFB1M,float64,248,0,0,0,0
RABEP1,float64,248,0,0,0,0
HMGB3,float64,248,0,0,0,0
NUP160,float64,248,0,0,0,0
BAK1,float64,248,0,0,0,0
MUSK,float64,248,0,0,0,0
IKZF2,float64,248,0,0,0,0
GRN,float64,248,0,0,0,0
FAM13B,float64,248,0,0,0,0
ARHGAP31,float64,248,0,0,0,0
CENPQ,float64,248,0,0,0,0
SARS1,float64,248,0,0,0,0
RANBP3,float64,248,0,0,0,0
ARID4A,float64,248,0,0,0,0
EIPR1,float64,248,0,0,0,0
PNPLA6,float64,248,0,0,0,0
IFT88,float64,248,0,0,0,0
ALG1,float64,248,0,0,0,0
ZCCHC8,float64,248,0,0,0,0
ABCF2,float64,248,0,0,0,0
CHPF2,float64,248,0,0,0,0
LRRC7,float64,248,0,0,0,0
FUT8,float64,248,0,0,0,0
UBA6,float64,248,0,0,0,0
GAB2,float64,248,0,0,0,0
ATP6V0A1,float64,248,0,0,0,0
PIAS1,float64,248,0,0,0,0
SLC4A7,float64,248,0,0,0,0
APBA2,float64,248,0,0,0,0
MAP2K3,float64,248,0,0,0,0
CLXN,float64,248,0,0,0,0
TMSB10,float64,248,0,0,0,0
ASTE1,float64,248,0,0,0,0
RNF19A,float64,248,0,0,0,0
PEX3,float64,248,0,0,0,0
GABARAPL2,float64,248,0,0,0,0
MYOC,float64,248,0,0,0,0
SH3YL1,float64,248,0,0,0,0
FAM136A,float64,248,0,0,0,0
VCL,float64,248,0,0,0,0
DEPDC1B,float64,248,0,0,0,0
DAPK2,float64,248,0,0,0,0
NSMAF,float64,248,0,0,0,0
ADSS2,float64,248,0,0,0,0
STAP1,float64,248,0,0,0,0
TIMP2,float64,248,0,0,0,0
RFC1,float64,248,0,0,0,0
TBC1D23,float64,248,0,0,0,0
CUL3,float64,248,0,0,0,0
MYOM2,float64,248,0,0,0,0
OTC,float64,248,0,0,0,0
CYP46A1,float64,248,0,0,0,0
ZZZ3,float64,248,0,0,0,0
SLC18A1,float64,248,0,0,0,0
USP2,float64,248,0,0,0,0
CASR,float64,248,0,0,0,0
TUBG2,float64,248,0,0,0,0
RPL26L1,float64,248,0,0,0,0
FLT4,float64,248,0,0,0,0
NSUN2,float64,248,0,0,0,0
FBXO42,float64,248,0,0,0,0
MFAP3,float64,248,0,0,0,0
MRI1,float64,248,0,0,0,0
METTL1,float64,248,0,0,0,0
HOXC8,float64,248,0,0,0,0
AGA,float64,248,0,0,0,0
PI4K2B,float64,248,0,0,0,0
BOD1L1,float64,248,0,0,0,0
MAT2B,float64,248,0,0,0,0
TLL1,float64,248,0,0,0,0
EDC4,float64,248,0,0,0,0
TRIO,float64,248,0,0,0,0
VCAN,float64,248,0,0,0,0
CLEC16A,float64,248,0,0,0,0
MSR1,float64,248,0,0,0,0
CDH1,float64,248,0,0,0,0
MTREX,float64,248,0,0,0,0
DNAH5,float64,248,0,0,0,0
ZFYVE16,float64,248,0,0,0,0
RIPOR1,float64,248,0,0,0,0
C6,float64,248,0,0,0,0
RAI14,float64,248,0,0,0,0
SOX30,float64,248,0,0,0,0
PNKP,float64,248,0,0,0,0
BEST2,float64,248,0,0,0,0
PHLPP2,float64,248,0,0,0,0
SPDL1,float64,248,0,0,0,0
STAU2,float64,248,0,0,0,0
SLC66A1,float64,248,0,0,0,0
CTNS,float64,248,0,0,0,0
RTN4R,float64,248,0,0,0,0
PHF23,float64,248,0,0,0,0
CDH10,float64,248,0,0,0,0
INPP4A,float64,248,0,0,0,0
RAB27B,float64,248,0,0,0,0
PSMA4,float64,248,0,0,0,0
MYO16,float64,248,0,0,0,0
LSG1,float64,248,0,0,0,0
PARP3,float64,248,0,0,0,0
TNC,float64,248,0,0,0,0
THAP3,float64,248,0,0,0,0
RIPOR3,float64,248,0,0,0,0
TDP1,float64,248,0,0,0,0
AIFM2,float64,248,0,0,0,0
SPATA7,float64,248,0,0,0,0
MED17,float64,248,0,0,0,0
RETSAT,float64,248,0,0,0,0
CAPG,float64,248,0,0,0,0
AP2S1,float64,248,0,0,0,0
USH2A,float64,248,0,0,0,0
ZPBP,float64,248,0,0,0,0
TG,float64,248,0,0,0,0
ADAM28,float64,248,0,0,0,0
BARX2,float64,248,0,0,0,0
DCUN1D1,float64,248,0,0,0,0
JADE2,float64,248,0,0,0,0
ZIC2,float64,248,0,0,0,0
LCP2,float64,248,0,0,0,0
TRIT1,float64,248,0,0,0,0
ADRB1,float64,248,0,0,0,0
GUCA2B,float64,248,0,0,0,0
CUL7,float64,248,0,0,0,0
CTNNA1,float64,248,0,0,0,0
PHKA2,float64,248,0,0,0,0
CNTLN,float64,248,0,0,0,0
EPHA3,float64,248,0,0,0,0
HSPA5,float64,248,0,0,0,0
DSG2,float64,248,0,0,0,0
GEMIN8,float64,248,0,0,0,0
OFD1,float64,248,0,0,0,0
GPM6B,float64,248,0,0,0,0
MAGEC2,float64,248,0,0,0,0
PREX2,float64,248,0,0,0,0
WDR37,float64,248,0,0,0,0
YTHDC2,float64,248,0,0,0,0
CTPS2,float64,248,0,0,0,0
ATP6V1H,float64,248,0,0,0,0
POLR2B,float64,248,0,0,0,0
ATOSA,float64,248,0,0,0,0
ARAP2,float64,248,0,0,0,0
TPR,float64,248,0,0,0,0
CP,float64,248,0,0,0,0
KATNIP,float64,248,0,0,0,0
DTNBP1,float64,248,0,0,0,0
XK,float64,248,0,0,0,0
ANO2,float64,248,0,0,0,0
FERRY3,float64,248,0,0,0,0
SCML1,float64,248,0,0,0,0
WWC3,float64,248,0,0,0,0
ARHGAP6,float64,248,0,0,0,0
FAM184B,float64,248,0,0,0,0
MAP4,float64,248,0,0,0,0
GOPC,float64,248,0,0,0,0
ROS1,float64,248,0,0,0,0
USP28,float64,248,0,0,0,0
HDAC9,float64,248,0,0,0,0
TSPAN17,float64,248,0,0,0,0
NOP16,float64,248,0,0,0,0
CC2D2A,float64,248,0,0,0,0
RRM2B,float64,248,0,0,0,0
ZNF800,float64,248,0,0,0,0
TNFRSF17,float64,248,0,0,0,0
SNX29,float64,248,0,0,0,0
LMO3,float64,248,0,0,0,0
MRPS10,float64,248,0,0,0,0
GUCA1A,float64,248,0,0,0,0
RSF1,float64,248,0,0,0,0
VPS13D,float64,248,0,0,0,0
CELF2,float64,248,0,0,0,0
FAM120A,float64,248,0,0,0,0
R3HDM1,float64,248,0,0,0,0
COL9A2,float64,248,0,0,0,0
KITLG,float64,248,0,0,0,0
ERCC8,float64,248,0,0,0,0
ADAMTS6,float64,248,0,0,0,0
H6PD,float64,248,0,0,0,0
VAMP3,float64,248,0,0,0,0
PER3,float64,248,0,0,0,0
UTS2,float64,248,0,0,0,0
TNFRSF9,float64,248,0,0,0,0
